date,domain,source_ip,source_port,destination_ip,destination_port,status,prediction
2024-06-13 09:12:10,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:11,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:11,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:11,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:11,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:11,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:11,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:11,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:11,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:12,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
